Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
43006,Vignerons - Minimes,True,29,15,14,8,6,True,True,2025-11-05 09:31:53+00:00,"(48.841486, 2.430793)",Vincennes,94080
8102,Lamennais - Washington,True,40,14,26,7,19,True,True,2025-11-05 09:32:43+00:00,"(48.87352990026496, 2.303444892168045)",Paris,75056
15028,Grenelle - Dr Finlay,True,71,43,26,21,5,True,True,2025-11-05 09:33:59+00:00,"(48.851315406715976, 2.2919502854347233)",Paris,75056
14018,Porte d'Orléans,True,48,46,2,2,0,True,True,2025-11-05 09:32:54+00:00,"(48.8227639, 2.3249313)",Paris,75056
31702,Pierre et Marie Curie - Julien Grimau,True,18,18,0,0,0,True,True,2025-11-05 09:25:06+00:00,"(48.870714014863225, 2.424097023904324)",Bagnolet,93006
42503,Vladimir Ilitch Lénine - Andrée Chedid,True,31,27,3,0,3,True,True,2025-11-05 09:32:17+00:00,"(48.813240124373, 2.3319716067039)",Gentilly,94037
7004,Raspail - Varenne,True,18,5,13,11,2,True,True,2025-11-05 09:34:26+00:00,"(48.853147816545, 2.3263905197382)",Paris,75056
11114,Ledru-Rollin - Charonne,True,32,13,19,13,6,True,True,2025-11-05 09:34:21+00:00,"(48.85345855607243, 2.3772463581947094)",Paris,75056
21013,Pierre Grenier - Pont de Billancourt,True,21,15,6,2,4,True,True,2025-11-05 09:33:19+00:00,"(48.8258020742942, 2.2487989068031315)",Boulogne-Billancourt,92012
20040,Parc de Belleville - Julien Lacroix,True,26,25,1,0,1,True,True,2025-11-05 09:33:28+00:00,"(48.8703459, 2.3842214)",Paris,75056
21111,Professeur René Leriche - Général Leclerc,True,50,14,34,31,3,True,True,2025-11-05 09:33:22+00:00,"(48.90782845483013, 2.307887971401215)",Clichy,92024
17017,Gare de Pont-Cardinet,True,34,33,1,0,1,True,True,2025-11-05 09:32:09+00:00,"(48.88713901475306, 2.314494143994255)",Paris,75056
2010,Uzès - Montmartre,True,29,1,28,16,12,True,True,2025-11-05 09:32:56+00:00,"(48.870790980240706, 2.3431010171771054)",Paris,75056
34002,Capitaine Glarner - Gabriel Péri,True,27,21,5,4,1,True,True,2025-11-05 09:34:04+00:00,"(48.902449900418745, 2.3304807533425724)",Saint-Ouen-sur-Seine,93070
5116,Place Valhubert,True,51,29,22,17,5,True,True,2025-11-05 09:34:16+00:00,"(48.844182577315, 2.3640366643667)",Paris,75056
23002,Pont de Levallois-bécon,True,50,2,48,26,22,True,True,2025-11-05 09:30:18+00:00,"(48.8984179, 2.2791311)",Levallois-Perret,92044
7006,Quai Voltaire,True,32,1,31,28,3,True,True,2025-11-05 09:30:19+00:00,"(48.858942986179, 2.3314182047146)",Paris,75056
13102,Pitié-Salpêtrière,True,51,6,45,29,16,True,True,2025-11-05 09:31:35+00:00,"(48.83748810318667, 2.365213818848133)",Paris,75056
7014,Saint-François-Xavier,True,42,11,31,19,12,True,True,2025-11-05 09:32:42+00:00,"(48.85154484769, 2.3146149516106)",Paris,75056
11101,Charles Delescluze,True,49,17,31,25,6,True,True,2025-11-05 09:34:19+00:00,"(48.85242200848887, 2.380632497370243)",Paris,75056
8012,Batignolles - Place de Clichy,True,47,41,5,2,3,True,True,2025-11-05 09:34:11+00:00,"(48.883474535757, 2.326493114233)",Paris,75056
14130,Jonquoy - Didot,True,30,27,3,1,2,True,True,2025-11-05 09:34:24+00:00,"(48.82890454823947, 2.31648076325655)",Paris,75056
5002,Sommerard - Saint-Jacques,True,34,0,34,20,14,True,True,2025-11-05 09:30:49+00:00,"(48.850310432924, 2.3450158352986)",Paris,75056
41207,Place du Général de Gaulle,True,28,7,20,4,16,True,True,2025-11-05 09:33:31+00:00,"(48.8525288, 2.4877332)",Fontenay-sous-Bois,94033
10023,Gare de l'Est - Verdun,True,14,9,5,2,3,True,True,2025-11-05 09:28:58+00:00,"(48.876156054271, 2.3609149083206)",Paris,75056
12011,Charenton - Place du Col Bourgoin,True,35,31,2,2,0,True,True,2025-11-05 09:32:56+00:00,"(48.844867319554, 2.3825789350545)",Paris,75056
13026,Place Jean Delay,True,35,33,2,0,2,True,True,2025-11-05 09:25:27+00:00,"(48.823316, 2.354336)",Paris,75056
12032,Porte Dorée,True,36,21,14,10,4,True,True,2025-11-05 09:34:16+00:00,"(48.8354337, 2.4077132)",Paris,75056
